DAF001,KPI_Climate_CPD_IP,
DMR001,KPI_Climate_CPD_IP,
DHN001,KPI_Climate_CPD_IP,
DMU001,KPI_Climate_CPD_IP,
DGQ001,KPI_Climate_CPD_IP,
DBE004,KPI_Climate_CPD_IP,
DEG001,KPI_Climate_CPD_IP,
DPS001,KPI_Climate_CPD_IP,0
DSG001,KPI_Climate_CPD_IP,
DGT001,KPI_Climate_CPD_IP,
DSM001,KPI_Climate_CPD_IP,
DNE001,KPI_Climate_CPD_IP,
DLT001,KPI_Climate_CPD_IP,
DCG001,KPI_Climate_CPD_IP,25370
DET001,KPI_Climate_CPD_IP,
DZA001,KPI_Climate_CPD_IP,169689
DTH001,KPI_Climate_CPD_IP,
DBG001,KPI_Climate_CPD_IP,
DJO001,KPI_Climate_CPD_IP,
DGE001,KPI_Climate_CPD_IP,
DTO001,KPI_Climate_CPD_IP,
DAR001,KPI_Climate_CPD_IP,1781
DLC001,KPI_Climate_CPD_IP,
DKM001,KPI_Climate_CPD_IP,
DUY001,KPI_Climate_CPD_IP,
DDK001,KPI_Climate_CPD_IP,
DHU001,KPI_Climate_CPD_IP,
DSZ001,KPI_Climate_CPD_IP,
DNI001,KPI_Climate_CPD_IP,
DGD001,KPI_Climate_CPD_IP,
DVC001,KPI_Climate_CPD_IP,
DLA001,KPI_Climate_CPD_IP,
DBS001,KPI_Climate_CPD_IP,
DLU001,KPI_Climate_CPD_IP,
DSS001,KPI_Climate_CPD_IP,8500
DBD001,KPI_Climate_CPD_IP,64194
DLI001,KPI_Climate_CPD_IP,
DMN001,KPI_Climate_CPD_IP,
DST001,KPI_Climate_CPD_IP,
DJP001,KPI_Climate_CPD_IP,
DAG001,KPI_Climate_CPD_IP,
DAM001,KPI_Climate_CPD_IP,
DAZ001,KPI_Climate_CPD_IP,
DNP001,KPI_Climate_CPD_IP,4703
DTT001,KPI_Climate_CPD_IP,
DRO001,KPI_Climate_CPD_IP,
DMX001,KPI_Climate_CPD_IP,
DTG001,KPI_Climate_CPD_IP,31029
DDZ001,KPI_Climate_CPD_IP,
DSV001,KPI_Climate_CPD_IP,6094
DML001,KPI_Climate_CPD_IP,5197
DGM001,KPI_Climate_CPD_IP,2590
DCL001,KPI_Climate_CPD_IP,
DTJ001,KPI_Climate_CPD_IP,420
DUG001,KPI_Climate_CPD_IP,
DGB001,KPI_Climate_CPD_IP,
DEE001,KPI_Climate_CPD_IP,
DCY001,KPI_Climate_CPD_IP,
DFM001,KPI_Climate_CPD_IP,
DAD001,KPI_Climate_CPD_IP,
DYE001,KPI_Climate_CPD_IP,913
DIL001,KPI_Climate_CPD_IP,200000
DLB001,KPI_Climate_CPD_IP,
DIQ001,KPI_Climate_CPD_IP,
DPE001,KPI_Climate_CPD_IP,0
DMW001,KPI_Climate_CPD_IP,8675729
DBI001,KPI_Climate_CPD_IP,28164
DKN001,KPI_Climate_CPD_IP,25
DSR001,KPI_Climate_CPD_IP,
DAE001,KPI_Climate_CPD_IP,
DJM001,KPI_Climate_CPD_IP,
DMG001,KPI_Climate_CPD_IP,4254
DTR001,KPI_Climate_CPD_IP,4580
DBT001,KPI_Climate_CPD_IP,
DBW001,KPI_Climate_CPD_IP,173
DPW001,KPI_Climate_CPD_IP,89
DPT001,KPI_Climate_CPD_IP,
DQA001,KPI_Climate_CPD_IP,
