,0,1,2
0,DET001,KPI_Climate_CPD_IP,
1,DDO001,KPI_Climate_CPD_IP,
2,DDO001,KPI_ClimateHeat_CPD_IP,
3,DET001,KPI_ReachDRER_CPD_IP,
4,DBZ001,KPI_ReachRCRCEd_CPD_IP,0
5,DMH001,KPI_ReachRCRCEd_CPD_IP,1568
6,DAM001,KPI_ReachRCRCEd_CPD_IP,7741
7,DBT001,KPI_ReachRCRCEd_CPD_IP,1240
8,DNE001,KPI_ReachRCRCEd_CPD_IP,0
9,DTH001,KPI_ReachRCRCEd_CPD_IP,69001
10,DCM001,KPI_ReachRCRCEd_CPD_IP,0
11,DSC001,KPI_ReachRCRCEd_CPD_IP,0
12,DPE001,KPI_ReachS_CPD_IP,0
13,DBZ001,KPI_ReachS_CPD_IP,0
14,DMR001,KPI_ReachS_CPD_IP,
15,DDO001,KPI_ReachS_CPD_IP,
16,DMH001,KPI_ReachS_CPD_IP,1188
17,DPY001,KPI_ReachS_CPD_IP,
18,DMA001,KPI_ReachS_CPD_IP,0
19,DLY001,KPI_ReachS_CPD_IP,0
20,DAM001,KPI_ReachS_CPD_IP,29061
21,DBT001,KPI_ReachS_CPD_IP,0
22,DTH001,KPI_ReachS_CPD_IP,11516
23,DPE001,KPI_ReachSI_CPD_IP,0
24,DIL001,KPI_ReachSI_CPD_IP,
25,DNG001,KPI_ReachSI_CPD_IP,0
26,DTV001,KPI_ReachSI_CPD_IP,
27,DMR001,KPI_ReachSI_CPD_IP,
28,DMH001,KPI_ReachSI_CPD_IP,1568
29,DMA001,KPI_ReachSI_CPD_IP,0
30,DAM001,KPI_ReachSI_CPD_IP,1726
31,DBT001,KPI_ReachSI_CPD_IP,30
32,DTH001,KPI_ReachSI_CPD_IP,455
33,DST001,KPI_ReachSI_CPD_IP,0
34,DIL001,KPI_ReachWASH_CPD_IP,
35,DBZ001,KPI_ReachWASH_CPD_IP,0
36,DMR001,KPI_ReachWASH_CPD_IP,18000
37,DMH001,KPI_ReachWASH_CPD_IP,250
38,DAM001,KPI_ReachWASH_CPD_IP,26200
39,DBT001,KPI_ReachWASH_CPD_IP,1115
40,DTH001,KPI_ReachWASH_CPD_IP,29318
41,DST001,KPI_ReachWASH_CPD_IP,0
42,DPE001,KPI_TrainFA_Tot_IP,0
43,DMR001,KPI_TrainFA_Tot_IP,546
44,DDO001,KPI_TrainFA_Tot_IP,
45,DMH001,KPI_TrainFA_Tot_IP,1005
46,DAM001,KPI_TrainFA_Tot_IP,
47,DBT001,KPI_TrainFA_Tot_IP,1115
48,DTH001,KPI_TrainFA_Tot_IP,22196
49,DKN001,KPI_DonBlood_Tot_IP,0
50,DPA001,KPI_DonBlood_Tot_IP,0
51,DFM001,KPI_DonBlood_Tot_IP,0
52,DTV001,KPI_DonBlood_Tot_IP,
53,DMN001,KPI_DonBlood_Tot_IP,0
54,DMR001,KPI_DonBlood_Tot_IP,
55,DGW001,KPI_DonBlood_Tot_IP,0
56,DPS001,KPI_DonBlood_Tot_IP,0
57,DMH001,KPI_DonBlood_Tot_IP,47
58,DPY001,KPI_DonBlood_Tot_IP,
59,DMA001,KPI_DonBlood_Tot_IP,0
60,DLT001,KPI_DonBlood_Tot_IP,0
61,DBT001,KPI_DonBlood_Tot_IP,491
62,DNI001,KPI_DonBlood_Tot_IP,0
63,DTH001,KPI_DonBlood_Tot_IP,732585
64,DBN001,KPI_DonBlood_Tot_IP,0
65,DTH001,KPI_GB_Tot_IP,76
66,DMH001,KPI_PeopleVol_Tot_IP,62
67,DTH001,KPI_PeopleVol_Tot_IP,90407
68,DKG001,KPI_PeopleVol_Tot_IP,4726
69,DMH001,KPI_PStaff_Tot_IP,10
70,DAM001,KPI_PStaff_Tot_IP,300
71,DTH001,KPI_PStaff_Tot_IP,11647
72,DKG001,KPI_PStaff_Tot_IP,261
73,DSL001,KPI_noLocalUnits_IP,16
74,DMH001,KPI_noLocalUnits_IP,
75,DSR001,KPI_noLocalUnits_IP,0
76,DSL001,KPI_IncomeLC_CHF_IP,5792820
77,DMR001,KPI_IncomeLC_CHF_IP,19597
78,DMH001,KPI_IncomeLC_CHF_IP,
79,DNA001,KPI_IncomeLC_CHF_IP,0
80,DAM001,KPI_IncomeLC_CHF_IP,10784275
81,DNE001,KPI_IncomeLC_CHF_IP,25181528
82,DTH001,KPI_IncomeLC_CHF_IP,933307489
83,DMZ001,KPI_IncomeLC_CHF_IP,2898979
84,DVE001,KPI_IncomeLC_CHF_IP,0
85,DJP001,KPI_IncomeLC_CHF_IP,10323894987
86,DSL001,KPI_expenditureLC_CHF_IP,6275689
87,DMR001,KPI_expenditureLC_CHF_IP,14181
88,DMH001,KPI_expenditureLC_CHF_IP,
89,DAM001,KPI_expenditureLC_CHF_IP,10784275
90,DNE001,KPI_expenditureLC_CHF_IP,12144780
91,DTH001,KPI_expenditureLC_CHF_IP,820479605
92,DVE001,KPI_expenditureLC_CHF_IP,0
93,DJP001,KPI_expenditureLC_CHF_IP,9761975790
