,0,1,2
0,DAR001,KPI_Climate_CPD_IP,800
1,DKR001,KPI_Climate_CPD_IP,48753
2,DMZ001,KPI_Climate_CPD_IP,
3,DAR001,KPI_ClimateHeat_CPD_IP,200
4,DCN001,KPI_ClimateHeat_CPD_IP,
5,DMZ001,KPI_ClimateHeat_CPD_IP,
6,DCN001,KPI_ReachCTP_CPD_IP,8830
7,DTO001,KPI_ReachCTP_CPD_IP,633
8,DMZ001,KPI_ReachCTP_CPD_IP,
9,DAR001,KPI_ReachDRER_CPD_IP,7750
10,DCN001,KPI_ReachDRER_CPD_IP,244200000
11,DTO001,KPI_ReachDRER_CPD_IP,58
12,DMZ001,KPI_ReachDRER_CPD_IP,244217
13,DAR001,KPI_ReachDRR_CPD_IP,8252
14,DCN001,KPI_ReachDRR_CPD_IP,
15,DTO001,KPI_ReachDRR_CPD_IP,91
16,DMZ001,KPI_ReachDRR_CPD_IP,189736
17,DAR001,KPI_ReachH_CPD_IP,20077
18,DTO001,KPI_ReachH_CPD_IP,452
19,DMZ001,KPI_ReachH_CPD_IP,1166598
20,DAR001,KPI_ReachHI_CPD_IP,12798
21,DAR001,KPI_ReachHPM_CPD_IP,20018
22,DKR001,KPI_ReachHPM_CPD_IP,9091
23,DAR001,KPI_ReachL_CPD_IP,1500
24,DTO001,KPI_ReachL_CPD_IP,
25,DMZ001,KPI_ReachL_CPD_IP,35508
26,DAR001,KPI_ReachLTSPD_CPD_IP,25481
27,DCN001,KPI_ReachLTSPD_CPD_IP,38668441
28,DTO001,KPI_ReachLTSPD_CPD_IP,0
29,DKR001,KPI_ReachLTSPD_CPD_IP,489330
30,DMZ001,KPI_ReachLTSPD_CPD_IP,353751
31,DAR001,KPI_ReachM_CPD_IP,1694
32,DTO001,KPI_ReachM_CPD_IP,
33,DAR001,KPI_ReachRCRCEd_CPD_IP,13999
34,DCN001,KPI_ReachRCRCEd_CPD_IP,1951
35,DTO001,KPI_ReachRCRCEd_CPD_IP,
36,DEG001,KPI_ReachS_CPD_IP,0
37,DAR001,KPI_ReachS_CPD_IP,8252
38,DCN001,KPI_ReachS_CPD_IP,15000
39,DTO001,KPI_ReachS_CPD_IP,232
40,DKR001,KPI_ReachS_CPD_IP,34392
41,DMZ001,KPI_ReachS_CPD_IP,106261
42,DAR001,KPI_ReachSI_CPD_IP,3404
43,DTO001,KPI_ReachSI_CPD_IP,
44,DMZ001,KPI_ReachSI_CPD_IP,106348
45,DAR001,KPI_ReachWASH_CPD_IP,5050
46,DTO001,KPI_ReachWASH_CPD_IP,
47,DKR001,KPI_ReachWASH_CPD_IP,27580
48,DMZ001,KPI_ReachWASH_CPD_IP,544301
49,DCN001,KPI_TrainFA_Tot_IP,5072215
50,DTO001,KPI_TrainFA_Tot_IP,1349
51,DTO001,KPI_DonBlood_Tot_IP,180
52,DMZ001,KPI_DonBlood_Tot_IP,
53,DTO001,KPI_PeopleVol_Tot_IP,16
54,DTO001,KPI_PStaff_Tot_IP,17
55,DMH001,KPI_noLocalUnits_IP,4
56,DPS001,KPI_noLocalUnits_IP,117
57,DCN001,KPI_IncomeLC_CHF_IP,2140559725
58,DTO001,KPI_IncomeLC_CHF_IP,1097933
59,DCN001,KPI_expenditureLC_CHF_IP,1980218561
60,DTO001,KPI_expenditureLC_CHF_IP,1022696
